ORDER,ZIP,TOTAL,R_0_17,R_18_29,R_30_39,R_40_49,R_50_64,R_65_74,R_75_84,R_85_UP
428,93313,55221,17224,10574,8407,6813,7534,2808,1478,383
429,92284,26182,6048,3285,2991,3297,5407,3142,1245,767
430,91803,29567,5305,4632,3943,4079,6082,3020,1582,924
431,93043,144,59,36,36,8,5,0,0,0
432,95602,17557,2642,2029,1361,1416,5058,2887,1347,817
433,90620,46414,9623,7739,6861,5687,9396,4245,1859,1004
434,95832,12114,3584,2542,1545,1346,1706,1057,286,48
435,90042,63193,12097,11417,12417,8510,11514,4099,2190,949
436,91324,29670,5132,6339,3960,3742,5592,2402,1666,837
437,92802,42016,10464,8040,6227,5608,6861,2594,1527,695
438,92647,62199,13560,11370,8993,8006,11773,4735,2590,1172
439,93926,9171,2923,1567,1429,1308,1245,349,224,126
440,91745,55202,10626,8864,6145,7443,11694,5766,3246,1418
441,94541,65928,14648,10106,11878,8805,12407,4562,2226,1296
442,92028,48173,10716,7065,6261,4818,9318,5515,2948,1532
443,92336,98346,27570,17653,14899,15212,14909,5326,2340,437
444,94804,40931,9409,7242,6837,5717,6864,3010,1265,587
445,95247,4024,696,364,369,393,718,830,464,190
446,95322,10373,2877,1508,1398,1473,1798,848,297,174
447,91702,62066,13392,16939,7831,7513,10277,3683,1827,604
448,96122,3266,741,243,516,350,771,485,109,51
449,95837,300,35,17,4,123,93,20,2,6
450,93268,18731,5998,3441,1969,2510,2819,1242,450,302
451,92567,10648,3025,2118,1398,1134,1720,759,402,92
452,95546,3466,1031,664,412,227,709,279,123,21
453,94133,26796,2606,4488,5376,3446,4842,2889,1771,1378
454,96097,9746,2312,1369,1254,819,1867,1260,686,179
455,92363,5348,1435,643,462,742,959,761,273,73
456,91932,26492,6489,5044,4539,2867,4451,1832,928,342
457,92561,1462,183,113,131,108,486,298,118,25
458,93609,5177,1366,874,648,779,690,489,227,104
459,92281,2591,890,533,204,247,367,219,74,57
460,93933,25442,5816,5420,3477,2940,4310,1915,1085,479
461,95337,39177,10714,6210,5139,6085,7107,2136,1256,530
462,95122,56121,14356,10650,8057,7826,8705,3944,1850,733
463,94103,30703,2733,6669,7861,4341,5421,1994,1158,526
464,90710,28045,6571,4265,4092,3361,5550,2401,1428,377
465,92058,46029,13913,13775,6840,3393,4654,2125,901,428
466,96132,50,3,6,6,2,11,9,9,4
467,90040,12328,2936,2473,1519,1511,2219,978,531,161
468,94130,3008,362,1446,528,223,392,53,4,0
469,95963,15492,4183,2538,1787,1852,2627,1550,632,323
470,95204,28667,6372,4976,4139,2989,5324,2865,1342,660
471,90660,63001,14311,11576,8085,8284,11481,4963,3006,1295
472,95568,274,17,26,52,41,91,46,1,0
473,92081,29596,6204,5907,4125,3408,6053,2084,1239,576
474,92239,227,5,6,15,2,29,144,23,3
475,95605,14493,3741,2936,2007,1411,2717,1000,511,170
476,92139,36105,8277,7076,5055,4375,6574,2617,1414,717
477,95363,27908,8028,5013,3500,4050,4509,1768,837,203
478,92372,6071,1449,1014,499,685,1256,617,463,88
479,95678,42053,9375,6778,6849,5920,7844,2926,1502,859
480,90501,41975,9949,6854,5517,6513,7794,3163,1471,714
481,92086,1543,115,161,166,96,342,413,192,58
482,95110,19928,4269,4571,4138,2732,3037,765,318,98
483,91776,38664,6297,6936,5182,5291,8590,3477,1876,1015
484,95133,28565,5926,4771,3970,3699,5537,2970,1118,574
485,94591,55157,10163,9368,7584,6756,11700,6110,2647,829
486,92260,34660,5096,4588,3048,3401,6513,5882,4147,1985
487,95673,16636,4297,2566,1980,1924,3840,1290,450,289
488,95953,10925,3275,1619,1397,1185,1906,898,468,177
489,92780,59499,14755,11094,9371,7552,9986,3776,1873,1092
490,95621,41740,8739,6506,5838,5268,8222,4142,2126,899
491,92305,657,145,51,40,79,190,87,50,15
492,90650,105304,25559,19714,15193,13585,18712,7373,3625,1543
493,93622,10335,3172,2152,1329,1172,1628,601,218,63
494,95608,62539,12675,8962,8809,6478,12917,6290,3909,2499
495,93723,13936,4027,2082,1904,2106,2220,1038,433,126
496,90670,16700,3684,3091,2030,2468,2955,1310,769,393
497,95020,64833,18046,9538,8741,9104,11744,4675,2281,704
498,90605,40192,10054,7269,5175,5610,7140,2710,1461,773
499,92675,38803,9406,5507,4155,4620,8049,3572,2406,1088
500,92840,54735,11325,10780,7457,6999,10656,4192,2118,1208
501,96041,2934,563,489,228,366,478,414,295,101
502,92241,7699,1179,628,691,722,1773,1332,953,421
503,94578,41865,9490,7184,6888,5516,7859,2870,1183,875
504,92250,8655,2524,1331,1227,721,1714,488,481,169
505,91502,10708,1468,2438,1971,1258,1702,651,823,397
506,95209,44980,12446,6773,5758,5557,8212,3687,1628,919
507,95333,2539,659,365,380,271,507,175,138,44
508,91103,27659,6088,4673,3713,3959,4941,2339,1303,643
509,92843,46873,10494,8053,6162,7099,9048,3353,2008,656
510,95428,2580,653,471,321,219,349,408,142,17
511,93454,40432,11966,7248,5541,4578,5969,2599,1519,1012
512,95585,457,85,50,90,35,134,63,0,0
513,93446,44636,9513,6434,5902,5309,9478,4593,2444,963
514,95490,12975,2801,1876,1917,919,2548,1913,731,270
515,92392,58393,18545,10009,8184,6615,9949,2856,1617,618
516,92309,572,172,123,75,81,101,20,0,0
517,94520,38753,8668,7333,6749,5102,6793,2770,1103,235
518,92314,11385,2785,1587,1004,1356,2445,1178,661,369
519,92264,20072,1593,1495,1330,2232,5651,4229,2512,1030
520,90302,30017,7480,4883,5264,4068,5292,2082,698,250
521,92104,45435,6774,10812,10594,6207,7108,2621,1012,307
522,93210,18336,4546,3690,3192,2360,2986,961,438,163
523,91204,18723,3376,3425,3088,2439,3475,1628,926,366
524,91304,54361,11728,9288,7276,7799,10738,4230,2306,996
525,92582,17219,5754,3103,2309,2291,2437,811,274,240
526,94806,64286,14333,12256,9917,9174,11094,4240,2312,960
527,91010,26380,4920,4432,3539,3810,5115,2480,1465,619
528,90715,20256,4527,3468,3188,2834,3780,1480,697,282
529,93536,70237,17487,11128,10131,8691,14613,5121,2367,699
530,92866,15574,2788,3925,2339,1760,2692,927,792,351
531,93551,50601,12796,7216,6168,6488,11438,4030,1960,505
532,96058,553,134,49,55,91,125,61,36,2
533,94619,24112,4921,3642,3126,3783,4511,2876,995,258
534,90621,35598,8441,6489,5182,5065,6773,2038,1163,447
535,93611,49053,13441,6896,6963,5705,9180,4148,1722,998
536,95361,35308,9243,4572,4614,4888,6817,2829,1828,517
537,91801,54768,8978,9838,8231,7350,10762,5019,2833,1757
538,95503,25972,5675,3393,3543,3341,4978,2914,1485,643
539,90241,43215,9825,8094,5791,6506,7500,3227,1456,816
540,93543,14392,4137,2292,1710,1574,2737,967,825,150
541,96021,16017,4032,2447,2055,1638,3260,1568,780,237
542,95356,32622,7837,5156,4273,3743,6601,2892,1315,805
543,94544,79747,18625,15426,12760,10111,13877,5310,2580,1058
544,93955,34566,8539,7155,4982,4153,5934,2102,1028,673
545,96022,16253,3834,2370,1782,2004,3395,1667,879,322
546,92591,41609,11113,6663,5997,5451,7697,3037,1127,524
547,90260,34827,8129,6028,5552,4983,6261,2333,1211,330
548,90631,69064,15911,12342,8864,9238,13193,5477,2545,1494
549,91321,34014,8383,6255,4238,3959,6522,2376,1271,1010
550,92252,9351,1903,1281,1397,995,1850,994,685,246
551,94901,41713,9880,5424,5905,6264,7100,4342,2132,666
552,94602,30162,6013,3700,4407,4552,6555,3132,1271,532
553,90247,48293,10396,8013,7273,6321,9485,3488,2129,1188
554,96108,80,0,0,0,0,0,51,18,11
555,94501,63821,12534,9010,10036,10239,12198,6142,2373,1289
556,92320,8753,1702,1218,619,1108,1712,1368,744,282
557,94559,27593,5964,4225,4306,3397,5361,2642,1176,522
558,92595,33649,8892,5312,4646,4493,6078,2620,1008,600
559,95954,12371,1976,2079,910,1306,3109,1878,873,240
560,92844,23189,4468,4035,2853,3345,4999,2101,890,498
561,95776,23911,6072,4765,3114,3412,4404,1333,573,238
562,91723,18521,4428,3124,2933,2542,3146,1385,631,332
563,95648,52949,11790,5645,6409,6476,8772,7449,4842,1566
564,91607,30611,4874,5456,5612,4039,5763,2800,1242,825
565,92203,31140,6726,3299,4481,4131,4957,4435,2713,398
566,93625,8059,2288,1214,1078,625,1522,722,373,237
567,91206,34739,6331,4633,5441,4633,7215,3312,1947,1227
568,95632,31911,8012,4991,4179,4082,6355,2428,1434,430
569,95223,2666,253,156,167,254,706,733,304,93
570,92111,50693,9795,10256,8847,6479,8800,3470,1950,1096
571,95355,59621,13844,9226,7344,7710,11830,5700,2909,1058
572,93001,32396,6635,5213,5018,3576,7479,2800,1141,534
573,93221,14129,3741,1998,1688,1658,2895,1293,562,294
574,91746,29709,6584,5792,3997,4110,5320,2153,1232,521
575,90746,27075,4731,5068,2749,3344,5417,2976,2113,677
576,93405,35898,2474,22153,2983,2145,3199,1556,915,473
577,91042,26966,4568,3916,3833,3180,6997,2558,1325,589
578,92655,8382,2415,958,900,1111,1864,636,427,71
579,95012,10780,3777,2299,1314,1454,1095,465,176,200
580,90601,32053,6634,5468,4558,4347,5867,2812,1687,680
581,95111,61830,16144,10271,8691,9168,11036,3950,1846,724
582,95641,1489,193,213,185,144,392,205,90,67
583,93720,47081,10966,8028,6132,5874,8895,3994,1827,1365
584,92057,60414,13072,10790,8332,7206,11841,5401,2548,1224
585,95993,37077,8841,5994,4576,4420,7103,3639,1816,688
586,95127,66256,15298,11940,9439,9004,12196,4767,2523,1089
587,92371,18269,4968,2667,1930,2594,3929,1368,697,116
588,91710,91773,18617,16493,13968,13275,18415,7052,2804,1149
589,93437,3387,1037,1444,692,151,63,0,0,0
590,93206,1704,708,267,191,207,222,45,46,18
591,95829,28264,7484,4445,3843,3776,5594,1966,845,311
592,95121,37531,7738,5881,4846,5234,7937,3791,1605,499
593,92008,27151,4929,4757,3122,3705,5942,2356,1356,984
594,93633,0,0,0,0,0,0,0,0,0
595,91101,21395,2713,5113,4671,2718,3281,1112,1049,738
596,95948,11917,3429,2031,1299,1430,1986,1018,526,198
597,92832,25837,6278,5088,4130,3657,3787,1632,889,376
598,95338,10827,2034,852,1114,1252,2609,1689,907,370
599,91504,26749,5593,4064,4325,3335,5655,2331,944,502
600,95446,5168,554,519,466,905,1392,829,394,109
601,92555,44452,12068,8432,6573,6235,7057,2809,1002,276
602,90604,42911,10293,7696,6406,5700,7362,2831,1725,898
603,94561,42473,12260,7190,5535,6101,7429,2839,857,262
604,95370,28096,4984,3435,3246,2848,6202,4240,2169,972
605,92107,31223,4026,7405,6998,3908,4981,2567,785,553
606,92506,46241,10472,7151,6038,5574,9168,4759,2200,879
607,94115,34604,4236,7330,7875,4289,5124,3265,1760,725
608,93455,46175,10846,7553,5904,4646,9454,4337,2475,960
609,93524,165,0,160,5,0,0,0,0,0
610,92548,7859,2248,1347,726,1268,1062,678,401,129
611,95945,25381,4299,3291,2634,2674,5162,4096,1836,1389
612,95326,10147,2799,1654,1204,1290,1711,605,558,326
613,96025,2126,395,219,224,214,506,329,175,64
614,91104,37874,8015,5459,5150,5282,8235,3291,1831,611
615,95939,605,115,130,90,62,105,57,42,4
616,95695,41278,9824,6441,5688,5127,7290,3951,1911,1046
617,95687,69060,14968,10947,10871,8536,13703,5847,2818,1370
618,95662,32172,6759,4651,4338,3808,6985,3398,1616,617
619,93907,23299,4951,3515,2800,2968,5100,2643,971,351
620,96150,29327,5038,5440,4680,3223,6441,3036,1105,364
621,95407,42026,10875,7609,6965,5236,7423,2620,1020,278
622,95814,11908,769,3750,2547,1135,1810,1106,499,292
623,92590,5154,1147,1155,555,519,1155,354,199,70
624,90230,32687,6718,4790,4586,5000,6263,2839,1561,930
625,92562,64286,16923,9962,7155,8166,12488,5023,2959,1610
626,95827,20666,4574,4018,3008,2078,4144,1430,919,495
627,91945,27236,6882,4470,4230,3169,4925,2312,769,479
628,95834,30076,8106,5593,4995,4245,4606,1626,633,272
629,91505,30902,5640,5104,4941,4982,6000,2485,1315,435
630,95969,23572,4419,2546,2693,2043,5574,3527,1855,915
631,94063,34867,8471,6749,6733,4309,5490,1975,892,248
632,93065,71832,16085,11059,8778,9922,16126,5719,2959,1184
633,95685,4665,934,547,476,342,996,714,413,243
634,95565,762,158,174,78,73,187,76,16,0
635,96101,5262,944,689,631,540,1233,766,371,88
636,91941,31918,6576,4720,4443,4095,6453,3024,1754,853
637,95246,1159,41,102,75,74,457,303,107,0
638,96088,4690,531,496,344,320,1428,845,605,121
639,91325,34575,6420,8073,4091,4889,6391,2446,1458,807
640,95128,36975,7321,6212,7024,4897,7012,2135,1396,978
641,94710,7893,1590,1502,1390,1250,1385,569,178,29
642,95376,55655,15559,9876,8018,7161,9622,3354,1520,545
643,90045,40567,6375,10102,6652,4893,7136,3140,1440,829
644,93004,31525,6683,4904,4268,3599,6503,3355,1458,755
645,95698,148,0,0,21,24,84,9,10,0
646,92065,37505,8109,5799,4628,4792,8463,3514,1430,770
647,92004,2299,257,236,51,246,481,451,464,113
648,91780,35133,7401,4549,4224,5589,7717,3210,1782,661
649,95327,7918,861,1386,1358,1276,1350,1051,357,279
650,96013,4819,1291,754,546,522,767,609,199,131
651,92508,38428,10457,6841,4785,6146,6546,2089,945,619
652,93015,17989,4929,3059,2290,2625,2726,1395,654,311
653,95661,31315,6609,4481,3893,3925,6344,3446,1686,931
654,92040,46306,10213,7195,6189,6264,9362,4041,1949,1093
655,95540,14196,3374,2122,1580,1641,2905,1368,576,630
656,92019,43272,9143,7142,5433,5133,8981,4535,1979,926
657,94609,23726,3438,5632,5379,3781,3401,1251,722,122
658,93445,7106,1674,966,1021,1068,1136,688,397,156
659,95470,5561,1209,565,721,822,1404,574,158,108
660,93614,11982,2518,1164,938,1068,2897,1993,990,414
661,91741,26794,6271,3605,3067,3614,5789,2399,1340,709
662,92831,37359,7395,11876,4579,4193,5675,1825,997,819
663,90039,29510,4735,4305,6167,4591,5570,2208,1328,606
664,95864,23352,4988,2748,2282,2999,5449,2855,1322,709
665,95453,11369,2183,1340,1256,997,2517,1747,978,351
666,90745,56930,12118,9888,7437,7225,11546,4935,2829,952
667,92071,57710,12769,8846,8507,7846,11709,4243,2447,1343
668,95843,47823,14157,7875,6976,5892,8867,2528,1139,389
669,96064,4533,870,570,443,418,1133,761,269,69
670,92587,17237,4203,2530,2188,2008,3756,1509,687,356
671,90814,19685,3102,3909,3610,2645,3938,1483,441,557
672,94303,48244,13316,8160,6562,7401,7601,2936,1512,756
673,91790,45444,9947,8101,5972,6176,8756,3512,2072,908
674,96056,1530,285,105,115,338,340,213,134,0
675,90755,11545,2155,1878,2131,1554,2332,1005,359,131
676,91722,34631,7918,5756,4883,4702,6824,2693,1455,400
677,96094,6611,1346,798,560,936,1430,965,444,132
678,95237,3639,1095,453,506,340,640,383,170,52
679,92117,56983,9901,11268,9388,6385,11528,4363,2648,1502
680,90249,26429,5315,4226,3070,3812,5478,2725,1220,583
681,91387,42034,11609,7030,5848,5341,8134,2469,1311,292
682,93225,4782,776,555,529,467,1479,827,116,33
683,96010,122,0,32,8,1,59,20,2,0
684,93644,9055,1638,1431,859,624,2005,1629,600,269
685,94965,11394,1691,933,1370,1455,3120,1668,963,194
686,90701,16801,3404,2635,3037,1936,3214,1237,939,399
687,95403,45096,9760,7784,6473,5592,8507,3761,1983,1236
688,91202,23345,3573,3434,3605,2790,5166,2656,1397,724
689,95726,8449,1535,1053,830,1323,2127,1017,416,148
690,95932,7633,1950,1195,970,814,1453,750,420,81
691,95023,53423,14144,8732,7838,6655,9780,3781,1739,754
692,91792,29619,5727,5352,4360,4000,5754,2909,1096,421
693,95603,29474,5465,3441,3270,3277,6979,3956,2281,805
694,93960,26966,6189,4344,4712,5064,4951,1004,598,104
695,92082,18705,4161,2679,2143,1978,4294,2068,984,398
696,95335,153,0,0,0,0,113,40,0,0
697,95330,22760,6314,4203,3368,3014,3995,1119,658,89
698,95126,36206,6667,7976,7201,4629,6214,2021,896,602
699,92637,16053,34,24,87,203,2421,4859,5144,3281
700,91311,40839,7318,6073,5448,5121,9456,3934,2362,1127
701,92592,84930,25222,10772,10726,12352,16690,5903,2307,958
702,91724,26717,5819,3859,3497,3818,5805,2339,1150,430
703,91351,32711,7978,5198,4705,4756,6605,2002,1069,398
704,92118,22548,4449,3775,2273,2803,4316,2829,1465,638
705,93544,1164,78,103,84,186,319,243,124,27
706,95437,14859,3083,1514,1658,1780,3271,2314,927,312
707,95667,36487,6282,4179,3557,3670,9537,5879,2331,1052
708,95925,276,32,136,0,0,81,0,27,0
709,90704,3979,1002,416,418,482,1058,438,136,29
710,92253,40929,8020,4982,4111,4375,8865,6104,3582,890
711,92584,54235,15695,9034,7443,6988,8697,3535,2169,674
712,94928,44323,8493,10812,5680,5018,8377,3780,1522,641
713,90068,21092,2293,3273,3871,3710,5088,1944,628,285
714,92881,33531,8081,6392,3101,4897,7703,2038,1061,258
715,95917,3717,912,774,319,460,716,320,157,59
716,96065,403,56,43,33,38,135,64,34,0
717,93426,1568,265,363,121,178,279,219,106,37
718,95324,8380,2277,1455,1041,1050,1309,717,247,284
719,94587,74722,14086,12463,12271,9647,14334,7121,3209,1591
720,92211,25056,2462,1815,1706,1722,4409,6065,4920,1957
721,94595,18117,2110,881,1453,1177,2525,3998,3469,2504
722,93401,28854,4648,7633,3608,3044,5065,2738,1451,667
723,90046,50900,3925,10682,12800,7818,8530,3718,2166,1261
724,93101,31371,5325,8128,4840,3912,5069,2502,1171,424
725,95979,414,29,38,4,40,148,88,48,19
726,95988,8298,2104,938,1228,789,1743,694,625,177
727,91978,10506,2656,1712,1576,1301,1876,869,310,206
728,94132,31436,3712,10819,3870,3252,4859,2561,1444,919
729,91316,30499,6267,3866,4482,4721,5782,3165,1485,731
730,91040,20049,3158,2267,2658,2696,5337,2405,1092,436
731,93561,34979,7944,4162,5321,4253,7270,3738,1816,475
732,90638,49227,9244,9833,5771,6195,9624,4585,2469,1506
733,91345,19145,3995,3578,2441,2612,3618,1386,1153,362
734,95382,38700,9724,6542,4963,5188,6553,3625,1421,684
735,95934,146,0,0,25,25,60,19,8,9
736,96067,7094,1193,804,629,683,1875,1259,485,166
737,95634,3559,686,429,413,259,862,506,345,59
738,95682,30314,5995,3878,3218,3523,6814,3588,2156,1142
739,95666,5164,661,393,458,499,1425,1227,283,218
740,92061,2660,893,349,285,236,518,276,86,17
741,95436,6240,989,601,717,736,1801,929,405,62
742,95758,65811,16348,10059,8913,9338,12965,4890,2425,873
743,92337,39240,10839,8549,5334,5900,6272,1476,762,108
744,96052,1574,166,201,135,253,396,232,169,22
745,91740,25877,5716,3723,3277,3744,5273,2545,1067,532
746,91602,19672,2544,3097,4499,3358,3869,1500,560,245
747,92270,18193,1375,763,1003,1472,4168,4595,3492,1325
748,95242,26409,6279,3114,2998,3320,5558,2874,1644,622
749,91106,25543,4214,6001,4790,3436,3844,1750,1042,466
750,95468,1280,308,95,206,126,271,165,81,28
751,95386,10557,3143,1538,1542,942,2190,759,335,108
752,90503,44605,8930,6217,6434,6192,9381,3677,2401,1373
753,92806,39442,8861,7730,6692,5242,6670,2358,1258,631
754,96020,2369,289,319,186,167,709,468,193,38
755,92867,44655,10528,9736,5173,5365,8732,2581,1835,705
756,93041,24208,5764,5146,4780,2271,3465,1442,1131,209
757,92116,33408,4437,6017,8280,4780,6154,2274,995,471
758,94558,68315,14615,9428,8487,8808,14002,7466,3837,1672
759,94553,49784,10128,6904,6732,6698,11637,4672,2164,849
760,95117,30369,6693,4935,5937,3908,5766,1957,679,494
761,92109,47111,5365,14644,11409,5310,5245,2797,1538,803
762,95060,47801,6999,13480,5331,5647,8938,4855,1798,753
763,95425,10984,2541,1152,1497,1252,2300,1439,616,187
764,93908,12398,2597,1164,1332,1412,3061,1869,612,351
765,91501,20511,3368,3098,3576,2542,4311,2202,975,439
766,95316,7022,1819,1236,581,1066,1258,621,331,110
767,95118,32421,8400,3505,4949,5064,6270,2227,1451,555
768,95404,40497,8172,5382,5654,5896,8671,4350,1658,714
769,92347,702,113,90,73,54,205,85,76,6
770,90305,15042,2390,2021,1938,2134,3748,1387,1002,422
771,94112,84707,14005,13060,11853,12507,18657,8156,4237,2232
772,96031,133,31,0,32,0,29,22,17,2
773,91775,25004,5396,3398,2900,3719,5152,2355,1524,560
774,91107,32503,5853,3887,5356,5100,6287,3359,1764,897
775,95369,1024,243,134,100,151,228,110,41,17
776,95728,231,42,28,18,54,75,14,0,0
777,95219,29270,7632,4043,3882,3821,5366,2683,1459,384
778,93003,51629,11382,7711,6732,6365,10425,4818,2630,1566
779,96035,3629,919,290,514,412,870,352,169,103
780,92344,23349,6592,3394,3421,2847,4580,1822,527,166
781,93433,13535,3038,2276,2266,1164,2534,1289,508,460
782,93312,61628,18393,9226,8884,8262,10897,4090,1325,551
783,95957,879,250,91,115,87,211,83,22,20
784,94014,49170,8237,8598,8066,5587,10327,4497,2688,1170
785,95401,38839,8053,6742,6303,4999,7549,3308,1221,664
786,95131,31236,5652,5848,5587,5087,5426,2316,999,321
787,92653,30012,6266,4174,3822,3767,6811,3082,1308,782
788,91423,33172,5563,5526,6023,4572,6880,2898,1099,611
789,95551,1416,316,235,140,134,359,171,52,9
790,91016,41105,8399,6210,5615,6524,8461,3444,1706,746
791,93066,3220,557,392,393,424,738,490,191,35
792,94546,44378,9396,5149,6637,6011,9861,4284,1899,1141
793,95125,53155,11707,6268,7746,7078,11483,4960,2479,1434
794,91701,39461,8306,6341,4226,5301,9142,3757,1905,483
795,95476,36586,6582,3995,3600,3980,8855,5424,2895,1255
796,95045,4217,947,449,434,487,1004,509,285,102
797,92860,26849,5248,4312,3446,4058,6072,2131,1229,353
798,90504,33410,6513,5206,4257,4953,6983,2841,1653,1004
799,93021,38581,9316,6152,4319,4664,9101,3561,998,470
800,91344,53613,10645,8273,6002,7119,12185,4991,2785,1613
801,95222,5029,638,639,181,549,1378,904,512,228
802,95971,5924,998,954,653,542,1629,582,445,121
803,95466,976,215,92,145,190,137,130,67,0
804,92029,19382,3821,2308,2425,2134,4604,2437,1272,381
805,95451,11603,2341,1321,1652,1005,2710,1664,715,195
806,93925,2073,677,396,295,229,369,68,35,4
807,94545,32724,6226,5488,4789,4584,6733,2703,1518,683
808,95123,68766,15851,9592,11549,9526,13766,5005,2512,965
809,92123,32473,5675,7890,6178,3819,5228,1812,1038,833
810,90041,29090,5112,5349,4344,3806,5706,2844,1112,817
811,94518,28734,5294,4597,3548,3838,6656,2810,1300,691
812,95618,27519,5826,7464,2732,3548,4718,1823,921,487
813,90732,22780,4284,2872,2949,2658,5076,2634,1449,858
814,92539,4557,980,636,404,470,1116,554,272,125
815,94592,952,142,365,95,142,153,20,35,0
816,93402,16562,3116,1785,2040,1845,3558,2557,1167,494
817,95624,65948,16488,9942,8265,8937,13958,4841,2657,860
818,92708,56953,11266,8051,6229,7609,12773,6431,3310,1284
819,95037,51994,13154,6550,6290,7205,11062,4979,1873,881
820,95912,5380,1504,963,757,517,982,457,121,79
821,95987,5950,1821,996,831,767,879,378,159,119
822,93711,38007,6895,5935,4699,4179,7047,5217,2570,1465
823,91001,37818,7457,4964,4271,5605,8682,3665,2241,933
824,95688,37260,8697,5742,4500,4978,7779,3552,1381,631
825,92377,20476,4974,3994,2843,2034,4176,1614,593,248
826,92672,34218,5627,5415,4221,4005,8330,3802,2004,814
827,95949,21036,3570,2030,2094,1991,5482,3568,1709,592
828,94572,10384,2327,1866,1563,1186,2047,764,382,249
829,91384,29212,6345,5870,4397,4105,6080,1553,603,259
830,95747,66931,17084,8508,8454,9913,11122,6265,3794,1791
831,93422,33466,7273,4595,5647,3094,7323,3291,1660,583
832,95252,16262,3219,1749,1590,2072,4360,1897,1113,262
833,90240,26413,6645,3927,3483,4032,4869,2285,711,461
834,92630,59403,11654,9622,7570,8098,12788,5850,2768,1053
835,94080,67600,12458,10295,10712,9394,13832,6202,3069,1638
836,90807,32202,6006,4771,4571,4685,6806,3380,997,986
837,94585,29525,7011,5413,4569,3433,5629,2124,813,533
838,92549,2517,329,280,121,278,837,480,164,28
839,95550,94,0,31,3,30,15,5,10,0
840,95684,3129,392,317,233,252,845,757,328,5
841,91750,34129,7155,4504,3361,3931,8273,3905,2105,895
842,92563,69469,21650,11382,9560,10252,9567,4053,2126,879
843,95757,50727,14414,6860,6786,8916,7894,3640,1519,698
844,90815,41312,7561,9089,5044,5810,7685,3454,1589,1080
845,94542,14699,2330,4070,2146,1551,2656,1199,585,162
846,95628,40855,7725,5474,5240,4131,9539,5258,2316,1172
847,91901,18162,4195,2523,2328,2089,3849,1973,1097,108
848,95306,654,77,109,57,30,215,72,81,13
849,95937,1540,441,235,187,152,242,187,43,53
850,92692,46800,8976,5649,4695,5833,11810,5626,2829,1382
851,92869,36846,7854,5727,4872,5259,7666,3506,1393,569
852,91362,36604,7575,4689,3429,4619,9044,4532,1976,740
853,95542,1871,197,315,147,383,382,346,76,25
854,92119,24831,4984,3186,3022,3246,5379,2515,1802,697
855,95692,5251,1052,832,545,854,1194,468,211,95
856,93514,14175,2814,1636,1444,1803,3308,1819,921,430
857,93265,3379,360,450,512,257,745,745,270,40
858,94577,47682,8962,7004,6701,6637,10824,4183,2189,1182
859,95448,17407,2637,1926,2020,2191,4335,2817,1139,342
860,92108,22280,2537,7094,5467,2495,2816,1345,388,138
861,90502,17778,2823,2373,2934,2076,3693,2121,1238,520
862,95626,6065,1410,935,623,711,1335,696,271,84
863,95212,29426,8280,5080,3729,4113,4749,2538,663,274
864,94931,8926,2126,1387,1350,1322,1447,888,268,138
865,95677,25477,5812,4124,3292,3463,4995,2366,948,477
866,91711,36777,6844,7785,3585,4611,6895,3682,2037,1338
867,96143,3585,746,498,726,599,568,248,162,38
868,94551,47227,11830,6100,7810,7079,9627,3120,1336,325
869,90404,22929,3749,4762,3954,3123,4033,1577,988,743
